DNA_ID,Sample_ID,Concentration_ng_ul,Filter_Extracted,Extraction_Date,Lot_Number,Project_ID,Location_ID,Date_Collected,Station_ID,Deployment_ID,FP_or_PT_Sample_Remaining_fraction,SD_remaining_est,Freezer_Temp_NegDegrees,Notes,Date,D_Number,Deployment_Type,Niskin_bottles,Deployment_Depth_m,Integrated_Depths_m,Depth_Class,Max_Depth,Temp_at_Deployment,Deployment_Time,Total_Filtration_Time_min,Volume_Filtered_mL,Storage_Code,Fraction,Replicate,Upper_Size_um,Lower_Size_um,NOTES,Start_Filtration_Time,End_Filtration_Time,Latitude,Longitude,lag,water_extracted,month
AP_D99,AAH_ONT_20230926_035_FP_BW1,35.3,0.25,20231011,175026656_1,AAH,ONT,20230926,35,AAH_ONT_20230926_035_3,0.75,NA,NA,NA,20230926,3,Rosette Cast,3,26.7,NA,B,NA,NA,0-01-01T13:53:00Z,NA,4900,FF,Whole,1,20,0.22,NA,0-01-01T14:04:00Z,0-01-01T14:29:00Z,43.36143333,-78.72943333,36,1225,September
AP_D5,AAH_ONT_20230516_048_FP_BW1,14.7,0.5,20230609,172033163,AAH,ONT,20230516,48,AAH_ONT_20230516_048_2,0.5,NA,NA,NA,20230516,2,Rosette Cast,3,35,NA,B,NA,NA,0-01-01T18:07:00Z,NA,3460,FF,Whole,1,20,0.22,NA,0-01-01T18:18:00Z,0-01-01T18:31:00Z,43.8797,-77.43975,24,1730,May
AP_D13,AAH_ONT_20230516_064_FP_EW1,143,0.5,20230615,172033163,AAH,ONT,20230516,64,AAH_ONT_20230516_064_1,0.5,NA,NA,NA,20230516,1,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T02:15:00Z,NA,3500,FF,Whole,1,20,0.22,NA,0-01-01T03:07:00Z,0-01-01T03:26:00Z,43.51975,-76.91836666666667,71,1750,May
AP_D21,AAH_ONT_20230517_041_FP_EW1,74,0.5,20230614,172033163,AAH,ONT,20230517,41,AAH_ONT_20230517_041_1,0.5,NA,NA,NA,20230517,1,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T20:24:00Z,NA,4180,FF,Whole,1,20,0.22,NA,0-01-01T20:49:00Z,0-01-01T21:11:00Z,43.71661666666667,-78.02736666666667,47,2090,May
AP_D29,AAH_ONT_20230517_055_FP_EW1,83.3,0.5,20230614,172033163,AAH,ONT,20230517,55,AAH_ONT_20230517_055_1,0.5,NA,NA,NA,20230517,1,Rosette Cast,1,5,NA,E,NA,NA,0-01-01T11:20:00Z,NA,2720,FF,Whole,1,20,0.22,NA,0-01-01T11:32:00Z,0-01-01T11:48:00Z,43.44421666666667,-77.43893333333334,28,1360,May
AP_D37,AAH_ONT_20230518_029_FP_EW1,43.4,0.5,20230615,172033163,AAH,ONT,20230518,29,AAH_ONT_20230518_029_3,0.5,NA,NA,NA,20230518,3,Rosette Cast,1,5,NA,E,NA,NA,0-01-01T15:52:00Z,NA,4085,FF,Whole,1,20,0.22,NA,0-01-01T16:08:00Z,0-01-01T16:28:00Z,43.81845,-78.86953333333334,36,2042.5,May
AP_D45,AAH_ONT_20230518_035_FP_BW1,30.5,0.5,20230615,172033163,AAH,ONT,20230518,35,AAH_ONT_20230518_035_2,0.5,NA,NA,NA,20230518,2,Rosette Cast,2,27,NA,B,NA,NA,0-01-01T07:58:00Z,NA,3420,FF,Whole,1,20,0.22,NA,0-01-01T08:15:00Z,0-01-01T08:33:00Z,43.36183333333334,-78.72948333333333,35,1710,May
AP_D53,AAH_ONT_20230519_012_FP_BW1,20.2,0.5,20230615,172033163,AAH,ONT,20230519,12,AAH_ONT_20230519_012_3,0.5,NA,NA,NA,20230519,3,Rosette Cast,3,102.8,NA,B,NA,NA,0-01-01T10:34:00Z,NA,4860,FF,Whole,1,20,0.22,NA,0-01-01T10:48:00Z,0-01-01T11:08:00Z,43.5035,-79.35378333333334,34,2430,May
AP_D62,EXTRACTION_NEGATIVE,NA,0.5,20230724,172033163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP_D76,AAH_ONT_20230927_012_FP_MW2,18.2,0.5,20231009,172033163,AAH,ONT,20230927,12,AAH_ONT_20230927_012_2,0.75,NA,NA,NA,20230927,2,Rosette Cast,3,52,NA,M,NA,NA,0-01-01T23:32:00Z,NA,4300,FF,Whole,2,20,0.22,NA,0-01-01T00:26:00Z,0-01-01T00:47:00Z,43.50345,-79.35313333,75,2150,September
AP_D84,AAH_ONT_20230927_029_FP_EW2,23.5,0.25,20231011,175026656_1,AAH,ONT,20230927,29,AAH_ONT_20230927_029_1,0.75,NA,NA,NA,20230927,1,Rosette Cast,3,5,NA,E,NA,NA,0-01-01T04:45:00Z,NA,4750,FF,Whole,2,20,0.22,NA,0-01-01T05:47:00Z,0-01-01T06:12:00Z,43.81948333,-78.87111667,87,1187.5,September
AP_D92,AAH_ONT_20230927_033_FP_MW2,12.5,0.25,20231006,172033163,AAH,ONT,20230927,33,AAH_ONT_20230927_033_2,0.75,NA,NA,day sample,20230927,2,Rosette Cast,3,68.5,NA,M,NA,NA,0-01-01T09:29:00Z,NA,3860,FF,Whole,2,20,0.22,Day sample,0-01-01T10:33:00Z,0-01-01T10:50:00Z,43.5965,-78.81436667,81,965,September
AP_D100,AAH_ONT_20230926_035_FP_BW2,43.6,0.25,20231011,175026656_1,AAH,ONT,20230926,35,AAH_ONT_20230926_035_3,0.75,NA,NA,NA,20230926,3,Rosette Cast,3,26.7,NA,B,NA,NA,0-01-01T13:53:00Z,NA,4110,FF,Whole,2,20,0.22,NA,0-01-01T15:02:00Z,0-01-01T15:22:00Z,43.36143333,-78.72943333,89,1027.5,September
AP_D6,AAH_ONT_20230516_048_FP_BW2,12.7,0.5,20230609,172033163,AAH,ONT,20230516,48,AAH_ONT_20230516_048_2,0.5,NA,NA,NA,20230516,2,Rosette Cast,3,35,NA,B,NA,NA,0-01-01T18:07:00Z,NA,2400,FF,Whole,2,20,0.22,NA,0-01-01T18:27:00Z,0-01-01T18:34:00Z,43.8797,-77.43975,27,1200,May
AP_D14,AAH_ONT_20230516_064_FP_EW2,130,0.5,20230613,172033163,AAH,ONT,20230516,64,AAH_ONT_20230516_064_1,0.5,NA,NA,NA,20230516,1,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T02:15:00Z,NA,3820,FF,Whole,2,20,0.22,NA,0-01-01T03:43:00Z,0-01-01T04:03:00Z,43.51975,-76.91836666666667,108,1910,May
AP_D22,AAH_ONT_20230517_041_FP_EW2,54.2,0.5,20230614,172033163,AAH,ONT,20230517,41,AAH_ONT_20230517_041_1,0.5,NA,NA,NA,20230517,1,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T20:24:00Z,NA,2620,FF,Whole,2,20,0.22,NA,0-01-01T20:56:00Z,0-01-01T21:21:00Z,43.71661666666667,-78.02736666666667,57,1310,May
AP_D30,AAH_ONT_20230517_055_FP_EW2,74,0.5,20230614,172033163,AAH,ONT,20230517,55,AAH_ONT_20230517_055_1,0.5,NA,NA,NA,20230517,1,Rosette Cast,1,5,NA,E,NA,NA,0-01-01T11:20:00Z,NA,3600,FF,Whole,2,20,0.22,NA,0-01-01T11:33:00Z,0-01-01T11:48:00Z,43.44421666666667,-77.43893333333334,28,1800,May
AP_D38,AAH_ONT_20230518_029_FP_MW1,33.2,0.5,20230614,172033163,AAH,ONT,20230518,29,AAH_ONT_20230518_029_1,0.5,NA,NA,NA,20230518,1,Rosette Cast,1,19,NA,M,NA,NA,0-01-01T16:17:00Z,NA,4400,FF,Whole,1,20,0.22,NA,0-01-01T16:32:00Z,0-01-01T16:53:00Z,43.81845,-78.86953333333334,36,2200,May
AP_D46,AAH_ONT_20230518_035_FP_BW2,34.1,0.5,202305615,172033163,AAH,ONT,20230518,35,AAH_ONT_20230518_035_2,0.5,NA,NA,NA,20230518,2,Rosette Cast,2,27,NA,B,NA,NA,0-01-01T07:58:00Z,NA,3280,FF,Whole,2,20,0.22,NA,0-01-01T08:42:00Z,0-01-01T09:00:00Z,43.36183333333334,-78.72948333333333,62,1640,May
AP_D54,AAH_ONT_20230519_012_FP_BW2,17.6,0.5,20230615,172033163,AAH,ONT,20230519,12,AAH_ONT_20230519_012_3,0.5,NA,NA,NA,20230519,3,Rosette Cast,3,102.8,NA,B,NA,NA,0-01-01T10:34:00Z,NA,4940,FF,Whole,2,20,0.22,NA,0-01-01T10:53:00Z,0-01-01T11:16:00Z,43.5035,-79.35378333333334,42,2470,May
AP_D69,AAH_ONT_20230927_008_FP_EW1,34.9,0.5,20231006,172033163,AAH,ONT,20230927,8,AAH_ONT_20230927_008_1,0.75,NA,NA,NA,20230927,1,Rosette Cast,3,5,NA,E,NA,NA,0-01-01T20:28:00Z,NA,4600,FF,Whole,1,20,0.22,NA,0-01-01T20:33:00Z,0-01-01T20:58:00Z,43.62221667,-79.45091667,30,2300,September
AP_D77,AAH_ONT_20230927_012_FP_BW1,4.55,0.5,20231009,172033163,AAH,ONT,20230927,12,AAH_ONT_20230927_012_3,0.75,NA,NA,NA,20230927,3,Rosette Cast,3,102,NA,B,NA,NA,0-01-01T23:30:00Z,NA,4560,FF,Whole,1,20,0.22,NA,0-01-01T23:39:00Z,0-01-01T23:58:00Z,43.50345,-79.35313333,28,2280,September
AP_D85,AAH_ONT_20230927_029_FP_MW1,15.8,0.25,20231010,172033163,AAH,ONT,20230927,29,AAH_ONT_20230927_029_2,0.75,NA,NA,NA,20230927,2,Rosette Cast,3,15,NA,M,NA,NA,0-01-01T04:21:00Z,NA,3220,FF,Whole,1,20,0.22,NA,0-01-01T04:38:00Z,0-01-01T05:03:00Z,43.81948333,-78.87111667,42,805,September
AP_D93,AAH_ONT_20230927_033_FP_BW1,6.39,0.25,20231013,175026656_1,AAH,ONT,20230927,33,AAH_ONT_20230927_033_3,0.75,NA,NA,day sample,20230927,3,Rosette Cast,3,134.9,NA,B,NA,NA,0-01-01T09:25:00Z,NA,4200,FF,Whole,1,20,0.22,Day sample,0-01-01T09:38:00Z,0-01-01T09:55:00Z,43.5965,-78.81436667,30,1050,September
AP_D101,AAH_ONT_20230926_038_FP_EW1,17.1,0.25,20231006,172033163,AAH,ONT,20230926,38,AAH_ONT_20230926_038_1,0.75,NA,NA,NA,20230926,1,Rosette Cast,3,5,NA,E,NA,NA,0-01-01T10:45:00Z,NA,4140,FF,Whole,1,20,0.22,NA,0-01-01T10:54:00Z,0-01-01T11:49:00Z,43.38313333,-77.98871667,64,1035,September
AP_D7,AAH_ONT_20230515_074_FP_BW1,13.1,0.5,20230609,172033163,AAH,ONT,20230515,74,AAH_ONT_20230515_074_2,0.5,NA,NA,NA,20230515,2,Rosette Cast,2,66,NA,B,NA,NA,0-01-01T16:37:00Z,NA,2910,FF,Whole,1,20,0.22,NA,0-01-01T16:46:00Z,0-01-01T17:04:00Z,43.747366666666665,-76.51155,27,1455,May
AP_D15,AAH_ONT_20230516_064_FP_MW1,97.7,0.5,20230614,172033163,AAH,ONT,20230516,64,AAH_ONT_20230516_064_2,0.5,NA,NA,NA,20230516,2,Rosette Cast,2,14,NA,M,NA,NA,0-01-01T02:15:00Z,NA,3770,FF,Whole,1,20,0.22,NA,0-01-01T02:24:00Z,0-01-01T02:44:00Z,43.51975,-76.91836666666667,29,1885,May
AP_D23,AAH_ONT_20230517_041_FP_MW1,43.4,0.5,20230616,172033163,AAH,ONT,20230517,41,AAH_ONT_20230517_041_2,0.5,NA,NA,NA,20230517,2,Rosette Cast,2,24,NA,M,NA,NA,0-01-01T20:01:00Z,NA,3060,FF,Whole,1,20,0.22,NA,0-01-01T20:15:00Z,0-01-01T20:26:00Z,43.71661666666667,-78.02736666666667,25,1530,May
AP_D31,AAH_ONT_20230517_055_FP_MW1,55.4,0.5,20230614,172033163,AAH,ONT,20230517,55,AAH_ONT_20230517_055_2,0.5,NA,NA,NA,20230517,2,Rosette Cast,2,13,NA,M,NA,NA,0-01-01T10:30:00Z,NA,5770,FF,Whole,1,20,0.22,NA,0-01-01T10:56:00Z,0-01-01T11:26:00Z,43.44421666666667,-77.43893333333334,56,2885,May
AP_D39,AAH_ONT_20230518_033_FP_BW1,15.2,0.5,20230615,172033163,AAH,ONT,20230518,33,AAH_ONT_20230518_033_3,0.5,NA,NA,NA,20230518,3,Rosette Cast,3,135,NA,B,NA,NA,0-01-01T11:47:00Z,NA,5240,FF,Whole,1,20,0.22,NA,0-01-01T12:02:00Z,0-01-01T12:21:00Z,43.596916666666665,-78.81335,34,2620,May
AP_D47,AAH_ONT_20230518_035_FP_EW1,88.6,0.5,20230615,172033163,AAH,ONT,20230518,35,AAH_ONT_20230518_035_3,0.5,NA,NA,NA,20230518,3,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T07:58:00Z,NA,3060,FF,Whole,1,20,0.22,NA,0-01-01T08:21:00Z,0-01-01T08:43:00Z,43.36183333333334,-78.72948333333333,45,1530,May
AP_D55,AAH_ONT_20230519_012_FP_EW1,73,0.5,20230614,172033163,AAH,ONT,20230519,12,AAH_ONT_20230519_012_1,0.5,NA,NA,NA,20230519,1,Rosette Cast,2,5,NA,E,NA,NA,0-01-01T11:15:00Z,NA,3500,FF,Whole,1,20,0.22,NA,0-01-01T11:27:00Z,0-01-01T11:45:00Z,43.5035,-79.35378333333334,30,1750,May
AP_D70,AAH_ONT_20230927_008_FP_EW2,42.9,0.5,20231011,175026656_1,AAH,ONT,20230927,8,AAH_ONT_20230927_008_1,0.75,NA,NA,NA,20230927,1,Rosette Cast,3,5,NA,E,NA,NA,0-01-01T20:28:00Z,NA,3960,FF,Whole,2,20,0.22,NA,0-01-01T21:12:00Z,0-01-01T21:37:00Z,43.62221667,-79.45091667,69,1980,September
AP_D78,AAH_ONT_20230927_012_FP_BW2,6,0.5,20231011,175026656_1,AAH,ONT,20230927,12,AAH_ONT_20230927_012_3,0.75,NA,NA,NA,20230927,3,Rosette Cast,3,102,NA,B,NA,NA,0-01-01T23:30:00Z,NA,4260,FF,Whole,2,20,0.22,NA,0-01-01T00:21:00Z,0-01-01T00:39:00Z,43.50345,-79.35313333,69,2130,September
AP_D86,AAH_ONT_20230927_029_FP_MW2,33.3,0.25,20231016,175026656_1,AAH,ONT,20230927,29,AAH_ONT_20230927_029_2,0.75,NA,NA,NA,20230927,2,Rosette Cast,3,15,NA,M,NA,NA,0-01-01T04:21:00Z,NA,3400,FF,Whole,2,20,0.22,NA,0-01-01T05:17:00Z,0-01-01T05:44:00Z,43.81948333,-78.87111667,83,850,September
AP_D94,AAH_ONT_20230927_033_FP_BW2,5.75,0.25,20231006,172033163,AAH,ONT,20230927,33,AAH_ONT_20230927_033_3,0.75,NA,NA,day sample,20230927,3,Rosette Cast,3,134.9,NA,B,NA,NA,0-01-01T09:25:00Z,NA,3740,FF,Whole,2,20,0.22,Day sample,0-01-01T10:26:00Z,0-01-01T10:43:00Z,43.5965,-78.81436667,78,935,September
AP_D102,AAH_ONT_20230926_038_FP_EW2,9.88,0.25,20231011,175026656_1,AAH,ONT,20230926,38,AAH_ONT_20230926_038_1,0.75,NA,NA,NA,20230926,1,Rosette Cast,3,5,NA,E,NA,NA,0-01-01T10:45:00Z,NA,3300,FF,Whole,2,20,0.22,end filtration time is estimate,0-01-01T12:05:00Z,0-01-01T12:35:00Z,43.38313333,-77.98871667,110,825,September
AP_D8,AAH_ONT_20230515_074_FP_BW2,11.6,0.5,20230609,172033163,AAH,ONT,20230515,74,AAH_ONT_20230515_074_2,0.5,NA,NA,NA,20230515,2,Rosette Cast,2,66,NA,B,NA,NA,0-01-01T16:37:00Z,NA,3360,FF,Whole,2,20,0.22,NA,0-01-01T17:30:00Z,0-01-01T17:50:00Z,43.747366666666665,-76.51155,73,1680,May
AP_D16,AAH_ONT_20230516_064_FP_MW2,101,0.5,20230614,172033163,AAH,ONT,20230516,64,AAH_ONT_20230516_064_2,0.5,NA,NA,NA,20230516,2,Rosette Cast,2,14,NA,M,NA,NA,0-01-01T02:15:00Z,NA,4250,FF,Whole,2,20,0.22,NA,0-01-01T03:10:00Z,0-01-01T03:33:00Z,43.51975,-76.91836666666667,78,2125,May
AP_D24,AAH_ONT_20230517_041_FP_MW2,30,0.5,20230515,172033163,AAH,ONT,20230517,41,AAH_ONT_20230517_041_2,0.5,NA,NA,NA,20230517,2,Rosette Cast,2,24,NA,M,NA,NA,0-01-01T20:01:00Z,NA,3140,FF,Whole,2,20,0.22,NA,0-01-01T20:36:00Z,0-01-01T20:46:00Z,43.71661666666667,-78.02736666666667,45,1570,May
AP_D32,AAH_ONT_20230517_055_FP_MW2,56.7,0.5,20230615,172033163,AAH,ONT,20230517,55,AAH_ONT_20230517_055_2,0.5,NA,NA,NA,20230517,2,Rosette Cast,2,13,NA,M,NA,NA,0-01-01T10:30:00Z,NA,3600,FF,Whole,2,20,0.22,NA,0-01-01T11:43:00Z,0-01-01T12:03:00Z,43.44421666666667,-77.43893333333334,93,1800,May
AP_D40,AAH_ONT_20230518_033_FP_BW2,17.7,0.5,20230616,172033163,AAH,ONT,20230518,33,AAH_ONT_20230518_033_3,0.5,NA,NA,NA,20230518,3,Rosette Cast,3,135,NA,B,NA,NA,0-01-01T11:47:00Z,NA,5040,FF,Whole,2,20,0.22,NA,0-01-01T12:06:00Z,0-01-01T12:35:00Z,43.596916666666665,-78.81335,48,2520,May
AP_D48,AAH_ONT_20230518_035_FP_MW1,66.6,0.5,20230616,172033163,AAH,ONT,20230518,35,AAH_ONT_20230518_035_1,0.5,NA,NA,NA,20230518,1,Rosette Cast,2,10,NA,M,NA,NA,0-01-01T07:58:00Z,NA,3400,FF,Whole,1,20,0.22,NA,0-01-01T08:21:00Z,0-01-01T08:41:00Z,43.36183333333334,-78.72948333333333,43,1700,May
AP_D57,AAH_ONT_20230519_012_FP_MW1,119,0.5,20230616,172033163,AAH,ONT,20230519,12,AAH_ONT_20230519_012_2,0.5,NA,NA,NA,20230519,2,Rosette Cast,3,15,NA,M,NA,NA,0-01-01T10:34:00Z,NA,4610,FF,Whole,1,20,0.22,NA,0-01-01T10:50:00Z,0-01-01T11:17:00Z,43.5035,-79.35378333333334,43,2305,May
AP_D71,AAH_ONT_20230927_008_FP_BW1,30.3,0.5,20231017,175026656_1,AAH,ONT,20230927,8,AAH_ONT_20230927_008_2,0.75,NA,NA,NA,20230927,2,Rosette Cast,3,13.4,NA,B,NA,NA,0-01-01T20:03:00Z,NA,4150,FF,Whole,1,20,0.22,NA,0-01-01T20:14:00Z,0-01-01T20:39:00Z,43.62221667,-79.45091667,36,2075,September
AP_D79,AAH_ONT_20230927_017_FP_EW1,42.6,0.5,20231013,175026656_1,AAH,ONT,20230927,17,AAH_ONT_20230927_017_1,0.75,NA,NA,NA,20230927,1,Rosette Cast,3,5,NA,E,NA,NA,0-01-01T15:00:00Z,NA,4100,FF,Whole,1,20,0.22,NA,0-01-01T15:14:00Z,0-01-01T15:42:00Z,43.22538333,-79.27113333,42,2050,September
AP_D87,AAH_ONT_20230927_029_FP_BW1,34.2,0.25,20231016,175026656_1,AAH,ONT,20230927,29,AAH_ONT_20230927_029_3,0.75,NA,NA,In tubes labeled as E1,20230927,3,Rosette Cast,3,27.9,NA,B,NA,NA,0-01-01T04:19:00Z,NA,3540,FF,Whole,1,20,0.22,NA,0-01-01T04:29:00Z,0-01-01T04:54:00Z,43.81948333,-78.87111667,35,885,September
AP_D95,AAH_ONT_20230926_035_FP_EW1,27.7,0.25,20231009,172033163,AAH,ONT,20230926,35,AAH_ONT_20230926_035_1,0.75,NA,NA,NA,20230926,1,Rosette Cast,3,5,NA,E,NA,NA,0-01-01T14:18:00Z,NA,3600,FF,Whole,1,20,0.22,NA,0-01-01T14:29:00Z,0-01-01T14:49:00Z,43.36143333,-78.72943333,31,900,September
PCR_Blanks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP_D103,AAH_ONT_20230926_038_FP_BW1,6.32,0.25,20231009,172033163,AAH,ONT,20230926,38,AAH_ONT_20230926_038_2,0.75,NA,NA,NA,20230926,2,Rosette Cast,3,16.6,NA,B,NA,NA,0-01-01T10:29:00Z,NA,4000,FF,Whole,1,20,0.22,NA,0-01-01T10:39:00Z,0-01-01T11:05:00Z,43.38313333,-77.98871667,36,1000,September
AP_D111,AAH_ONT_20230926_043_FP_EW1,26.3,0.25,20231006,172033163,AAH,ONT,20230926,43,AAH_ONT_20230926_043_1,0.75,NA,NA,NA,20230926,1,Rosette Cast,3,5,NA,E,NA,NA,0-01-01T04:13:00Z,NA,3860,FF,Whole,1,20,0.22,In tube labeled as BW1,0-01-01T04:21:00Z,0-01-01T04:46:00Z,43.94891667,-78.04683333,33,965,September
AP_D119,AAH_ONT_20230926_048_FP_BW1,32.5,0.25,20231011,175026656_1,AAH,ONT,20230926,48,AAH_ONT_20230926_048_3,0.75,NA,NA,NA,20230926,3,Rosette Cast,3,31.5,NA,B,NA,NA,0-01-01T00:45:00Z,NA,4000,FF,Whole,1,20,0.22,NA,0-01-01T00:56:00Z,0-01-01T01:21:00Z,43.87971667,-77.43926667,36,1000,September
