Well,Sample_ID
A01,PBS
B01,BEADS
C01,AAH_ONT_20230518_035_FC_M1
D01,AAH_ONT_20230518_035_FC_M1
E01,AAH_ONT_20230518_035_FC_M1
F01,AAH_ONT_20230926_041_FC_B1
G01,AAH_ONT_20230926_041_FC_B1
H01,AAH_ONT_20230926_041_FC_B1
A02,AAH_ONT_20230923_064_FC_M2
B02,AAH_ONT_20230923_064_FC_M2
C02,AAH_ONT_20230923_064_FC_M2
D02,AAH_ONT_20230923_062_FC_E1
E02,AAH_ONT_20230923_062_FC_E1
F02,AAH_ONT_20230923_062_FC_E1
G02,AAH_ONT_20230925_055_FC_E2
H02,AAH_ONT_20230925_055_FC_E2
A03,AAH_ONT_20230925_055_FC_E2
B03,AAH_ONT_20230519_017_FC_E1
C03,AAH_ONT_20230519_017_FC_E1
D03,AAH_ONT_20230519_017_FC_E1
E03,AAH_ONT_20230518_029_FC_E1
F03,AAH_ONT_20230518_029_FC_E1
G03,AAH_ONT_20230518_029_FC_E1
H03,AAH_ONT_20230923_064_FC_E1
A04,AAH_ONT_20230923_064_FC_E1
B04,AAH_ONT_20230923_064_FC_E1
C04,AAH_ONT_20230517_055_FC_M2
D04,AAH_ONT_20230517_055_FC_M2
E04,AAH_ONT_20230517_055_FC_M2
F04,AAH_ONT_20230518_033_FC_E1
G04,AAH_ONT_20230518_033_FC_E1
H04,AAH_ONT_20230518_033_FC_E1
A05,AAH_ONT_20230927_029_FC_E2
B05,AAH_ONT_20230927_029_FC_E2
C05,AAH_ONT_20230927_029_FC_E2
D05,AAH_ONT_20230517_717_FC_E2
E05,AAH_ONT_20230517_717_FC_E2
F05,AAH_ONT_20230517_717_FC_E2
G05,AAH_ONT_20230926_033_FC_B2
H05,AAH_ONT_20230926_033_FC_B2
A06,AAH_ONT_20230926_033_FC_B2
B06,AAH_ONT_20230926_033_FC_M2
C06,AAH_ONT_20230926_033_FC_M2
D06,AAH_ONT_20230926_033_FC_M2
E06,AAH_ONT_20230926_033_FC_E2
F06,AAH_ONT_20230926_033_FC_E2
G06,AAH_ONT_20230926_033_FC_E2
H06,AAH_ONT_20230926_033_FC_B1
A07,AAH_ONT_20230926_033_FC_B1
B07,AAH_ONT_20230926_033_FC_B1
C07,AAH_ONT_20230926_033_FC_M1
D07,AAH_ONT_20230926_033_FC_M1
E07,AAH_ONT_20230926_033_FC_M1
F07,AAH_ONT_20230926_033_FC_E1
G07,AAH_ONT_20230926_033_FC_E1
H07,AAH_ONT_20230926_033_FC_E1
A08,PBS
B08,
C08,
D08,
E08,
F08,
G08,
H08,
A09,
B09,
C09,
D09,
E09,
F09,
G09,
H09,
A10,
B10,
C10,
D10,
E10,
F10,
G10,
H10,
A11,
B11,
C11,
D11,
E11,
F11,
G11,
H11,
A12,
B12,
C12,
D12,
E12,
F12,
G12,
H12,